nombre;descripcion;m2_construidos;m2_totales;estacionamientos;habitaciones;baños;direccion;tipo_inmueble;precio_mensual_arriendo;comuna_cod;propietario_rut
Casa Finn;Casa de madera en el árbol;120;300;1;3;2;Calle Aventura 1;Casa;500000;15102;12345678-9
Casa Jake;Casa con amplio jardín;100;350;2;4;2;Calle Dulce 2;Casa;450000;15102;23456789-0
Castillo Chicle;Castillo de caramelos;500;1000;5;10;6;Calle Chicle 3;Departamento;3000000;15102;34567890-1
Cueva Marceline;Cueva oscura y misteriosa;80;200;0;2;1;Calle Vampiro 4;Departamento;200000;15102;45678901-2
Palacio Helado;Palacio hecho de hielo;600;1200;3;8;5;Calle Hielo 5;Parcela;2500000;05109;56789012-3
Apartamento BMO;Apartamento con vista al mar;90;150;1;3;2;Calle Consola 6;Parcela;600000;05109;67890123-4
Casa Flama;Casa cálida y acogedora;140;400;1;5;3;Calle Fuego 7;Casa;700000;05109;78901234-5
Casa Limonagrio;Casa ácida y fresca;110;300;1;4;2;Calle Limón 8;Casa;550000;05109;89012345-6
Cabaña Billy;Cabaña en el bosque;70;250;1;2;1;Calle Heroe 9;Parcela;300000;05405;90123456-7
Casa Reina Tierra;Casa con gran jardín;150;500;2;6;4;Calle Tierra 10;Casa;800000;05405;01234567-8


Casa Dulce Princesa;Casa de dulces y caramelos;130;400;2;4;3;Calle Dulce 11;Casa;600000;15102;13579246-0

Casa Menta;Casa refrescante y verde;90;250;1;3;2;Calle Menta 12;Casa;450000;15102;24681357-1
Castillo Fuego;Castillo ardiente y poderoso;550;1200;4;9;5;Calle Fuego 13;Parcela;2800000;05109;35792468-2
Cueva de la Magia;Cueva mágica y misteriosa;70;150;0;2;1;Calle Magia 14;Departamento;220000;15102;46813579-3
Torre de Hielo;Torre helada con vista increíble;200;600;2;5;3;Calle Hielo 15;Parcela;1800000;05109;57924680-4
Apartamento Arcade;Apartamento con temática de videojuegos;85;130;1;2;1;Calle Arcade 16;Departamento;500000;15102;68035791-5
Casa Fionna;Casa de aventuras y diversión;115;320;1;4;2;Calle Aventura 17;Casa;650000;15102;79146802-6
Casa de la Noche;Casa oscura y acogedora;100;280;1;3;2;Calle Noche 18;Casa;550000;05405;80257913-7
Palacio de la Luz;Palacio brillante y majestuoso;700;1300;5;10;6;Calle Luz 19;Parcela;3000000;05109;91368024-8
Cabaña del Bosque;Cabaña tranquila y rodeada de árboles;80;200;1;2;1;Calle Bosque 20;Parcela;320000;05405;02479135-9
Casa Banana Guard;Casa colorida y tropical;100;250;1;3;2;Calle Banana 21;Casa;480000;15102;11223344-5
Casa Shelby;Casa diminuta y acogedora;50;120;0;1;1;Calle Caracol 22;Casa;200000;15102;22334455-6
Casa Árbol Finn;Casa de árbol resistente;90;200;0;2;2;Calle Árbol 23;Casa;400000;15102;33445566-7
Casa Beemo;Casa con tecnología avanzada;110;250;1;3;2;Calle Tecnología 24;Casa;450000;05109;44556677-8
Apartamento Princesa Espacio Bultos;Apartamento en el espacio;85;140;0;2;1;Calle Espacial 25;Departamento;520000;05109;55667788-9
Casa Reina Abeja;Casa con temática de colmena;100;280;1;3;2;Calle Abeja 26;Casa;500000;05405;66778899-0
Castillo Glob;Castillo con vista al cielo;400;900;3;8;5;Calle Cielo 27;Parcela;2500000;05109;77889900-1
Casa Rey Worm;Casa subterránea y fresca;120;300;1;4;3;Calle Subterránea 28;Casa;600000;05405;88990011-2
Apartamento Rey Hielo;Apartamento helado;70;150;0;2;1;Calle Fría 29;Departamento;200000;15102;99001122-3
Casa Dr. Gork;Casa con laboratorio;130;400;2;5;3;Calle Ciencia 30;Casa;700000;05109;10111213-4
